1.5952e+01,5.4921e+01
1.5870e+01,5.4963e+01
1.5788e+01,5.5006e+01
1.5706e+01,5.4900e+01
1.5624e+01,5.4497e+01
1.5542e+01,5.4392e+01
1.5460e+01,5.4286e+01
1.5378e+01,5.4625e+01
1.5295e+01,5.4520e+01
1.5213e+01,5.4414e+01
1.5131e+01,5.4605e+01
1.5049e+01,5.4648e+01
1.4967e+01,5.4690e+01
1.4885e+01,5.4733e+01
1.4803e+01,5.4776e+01
1.4721e+01,5.4967e+01
1.4639e+01,5.4713e+01
1.4557e+01,5.4755e+01
1.4475e+01,5.5095e+01
1.4393e+01,5.4989e+01
1.3860e+01,1.2985e+03
1.3778e+01,1.3014e+03
1.3696e+01,1.3038e+03
1.3614e+01,1.3062e+03
1.3532e+01,1.3078e+03
1.3450e+01,1.3096e+03
1.3368e+01,1.3113e+03
1.3286e+01,1.3125e+03
1.3204e+01,1.3137e+03
1.3122e+01,1.3145e+03
1.3040e+01,1.3156e+03
1.2958e+01,1.3158e+03
1.4328e+01,7.3692e+01
1.4323e+01,1.1323e+02
1.4323e+01,1.5692e+02
1.4322e+01,2.1934e+02
1.4322e+01,2.8592e+02
1.4322e+01,3.4418e+02
1.4317e+01,4.0036e+02
1.4317e+01,4.5445e+02
1.4317e+01,5.0647e+02
1.4312e+01,5.8553e+02
1.4312e+01,6.4795e+02
1.4311e+01,7.2077e+02
1.4311e+01,8.0192e+02
1.4311e+01,8.9347e+02
1.4306e+01,9.7045e+02
1.4306e+01,1.0662e+03
1.4301e+01,1.1369e+03
1.4300e+01,1.2160e+03
1.4295e+01,1.2763e+03
1.4172e+01,1.2889e+03
1.4063e+01,1.2931e+03
1.3977e+01,1.2952e+03
1.4332e+01,5.2883e+01
1.2813e+01,1.2563e+03
1.2837e+01,1.2875e+03
1.2884e+01,1.3103e+03
1.2794e+01,1.2168e+03
1.2780e+01,1.1689e+03
1.2771e+01,1.1190e+03
1.2752e+01,1.0274e+03
1.2706e+01,5.3227e+02
1.2706e+01,4.6361e+02
1.2697e+01,3.9079e+02
1.2697e+01,3.2421e+02
1.2697e+01,2.9925e+02
1.2757e+01,1.0732e+03
1.2748e+01,9.7959e+02
1.2711e+01,5.8221e+02
1.2729e+01,8.1731e+02
1.2738e+01,8.9012e+02
1.2715e+01,6.7583e+02
1.2720e+01,7.4241e+02
